,symbol,marketCap,priceToBook,profitMargin,revenue,bookToPrice,BookValue,s1,s2,s3
211,GWW,24464133222,13.19,0.0670620957134481,12159444514.0,0.0758150113722517,1854748538.4382107,0.023879568824195996,0.08791379809987723,0.0
212,HAL,20003384626,4.13,-0.13783472922399484,13475777695.0,0.24213075060532688,4843434534.140436,0.06235838762320033,0.14206635612185992,0.0
213,HAS,13243071208,4.61,0.07508187110828804,5662479416.0,0.21691973969631234,2872683559.2190886,0.036985307356150715,0.10941035287958938,0.0
214,HBAN,16008814925,1.47,0.23373403210559315,5265025421.0,0.6802721088435374,10890350289.115646,0.14021138923097387,0.21302739119058517,0.5716384873981951
215,HBI,6942277943,14.4,-0.05021373766957968,7043143065.0,0.06944444444444445,482102634.9305556,0.00620698860927231,0.04482128226930472,0.0
216,HCA,66820482307,275.99,0.08847407583996952,53151036194.0,0.0036233196854958513,242111968.93728033,0.0031171500101397683,0.03176308334024684,0.0
217,HD,333483490316,108.31,0.09964214605885617,134441423527.0,0.009232757824762256,3078972304.6440773,0.039641239517273254,0.11327065595778729,0.0
218,HES,26079414127,4.67,-0.078865530260534,5387914322.0,0.21413276231263384,5584456986.509636,0.07189892440481986,0.15254746654320564,0.0
219,HFC,5645364314,1.1,-0.014103872115787541,11485244416.0,0.9090909090909091,5132149376.363636,0.0660755416214675,0.1462393232304063,2.1085144029452825
220,HIG,24389217015,1.4,0.08436763565669,21270076714.0,0.7142857142857143,17420869296.428574,0.22429069963936127,0.2694321616846717,0.7849594894714476
221,HII,8639788022,4.47,0.07520274406521221,9716161026.0,0.2237136465324385,1932838483.668904,0.02488496345477177,0.08974542247493247,0.0
222,HLT,34737021017,-21.63,-0.2662697747063155,3403620379.0,-0.04623208506703653,-1605964910.6333797,0.0,0.0,0.0
223,HOLX,16054928665,4.3,0.3618296952814013,5326459788.0,0.23255813953488372,3733704340.6976743,0.048070802011773474,0.12473389575290882,0.0
224,HON,154944568882,8.86,0.14207277727105327,34136929167.0,0.11286681715575622,17488100325.28217,0.22515628758692358,0.2699515605184021,0.0
225,HPE,20908285580,1.36,-0.01627575221588595,27020217497.0,0.7352941176470588,15373739397.058823,0.19793425384038918,0.25310707315560205,0.9192512629197066
226,HPQ,40767746011,-12.91,0.05828521521290042,58097568635.0,-0.07745933384972889,-3157842448.5670023,0.0,0.0,0.0
227,HRB,4555805825,-8.74,0.034600989873857804,3037989573.0,-0.11441647597254004,-521259247.71167046,0.0,0.0,0.0
228,HRL,25730254556,3.99,0.09393027735555734,9711837530.0,0.2506265664160401,6448685352.380952,0.08302571615850105,0.16392685916630764,0.0
229,HSIC,11283172968,3.37,0.0412791144417801,10238555243.0,0.29673590504451036,3348122542.433234,0.04310650259425451,0.1181177584872922,0.0
230,HST,11967223026,2.05,-0.9344919880471564,976033923.0,0.48780487804878053,5837669768.780488,0.07515899547973469,0.15596756294863853,0.0
231,HSY,35973648619,16.53,0.16722790075187632,8811029309.0,0.060496067755595885,2176264284.2710223,0.028019028821906683,0.09522924511394688,0.0
